Accepted by Customer,Принято клиентом
Sales Invoice {0} does not belong to Customer {1},Счёт продажи {0} не принадлежит клиенту {1}
Please select at least one Sales Invoice.,Выберите хотя бы один счёт продажи.
Please select at least one Sales eFactura.,Выберите хотя бы одну исходящую фактуру.
Please select at least one Purchase eFactura.,Выберите хотя бы одну входящую фактуру.
Please set Currency in eFactura Settings.,Укажите валюту в настройках eFactura.
Print Name,Имя для печати
Processing {0} of {1},Обработка {0} из {1}
Qty In Stock UOM,Количество в складской ЕИ
Qty In eFactura UOM,Количество в ЕИ eFactura
Rate (eFactura Currency),Ставка (валюта eFactura)
Rate at which document currency is converted to eFactura currency,Курс конвертации валюты документа в валюту eFactura
Rate eFactura UOM (eFactura Currency),Ставка ЕИ eFactura (валюта eFactura)
Register Signed,Подписать и зарегистрировать
Register Unsigned,Зарегистрировать без подписи
None of the selected documents can be signed. Only submitted Sales eFactura in Pending Registration are eligible.,Ни один из выбранных документов нельзя подписать. Подходят только проведённые исходящие фактуры в статусе «Ожидает регистрации».
Sign and register {0} Sales eFactura document(s)?,Подписать и зарегистрировать исходящих фактур: {0}?
"{0} selected document(s) will be skipped (not submitted or not in Pending Registration).","{0} выбранных документов будут пропущены (не проведены или не в статусе «Ожидает регистрации»)."
Registered as Draft,Зарегистрирована как черновик
Registering unsigned XML to e-Factura system...,Регистрация неподписанного XML в системе e-Factura...
Rejected by Customer,Отклонена клиентом
Root territory that defines Moldova fiscal scope,Корневая территория, определяющая фискальную зону Молдовы
Sales Invoice could not be submitted because eFactura is not configured. Please set Fiscal Territory in eFactura Settings.,Счёт продажи не может быть проведён, так как eFactura не настроена. Укажите фискальную территорию в настройках eFactura.
Select certificate,Выберите сертификат
Select field from Company used to store IDNO,Выберите поле компании для хранения IDNO
Select field from Customer used to store IDNO,Выберите поле клиента для хранения IDNO
Select field from Supplier used to store IDNO,Выберите поле поставщика для хранения IDNO
Sent to Customer,Отправлена клиенту
Sign,Подписать
Accept,Принять
Sign {0} Purchase eFactura document(s)?,Подписать входящих фактур: {0}?
Accept {0} Purchase eFactura document(s)?,Принять входящих фактур: {0}?
"{0} selected document(s) will be skipped (not submitted or not eligible for signing).","{0} выбранных документов будут пропущены (не проведены или не подходят для подписи)."
"{0} selected document(s) will be skipped (not submitted or not eligible for accepting).","{0} выбранных документов будут пропущены (не проведены или не подходят для принятия)."
"None of the selected documents can be signed. Only submitted Purchase eFactura in Sent to Buyer, Signed by Supplier, or Accepted status are eligible.","Ни один из выбранных документов нельзя подписать. Подходят только проведённые входящие фактуры в статусах «Отправлена покупателю», «Подписана поставщиком» или «Принята»."
"None of the selected documents can be accepted. Only submitted Purchase eFactura in Sent to Buyer or Signed by Supplier status are eligible.","Ни один из выбранных документов нельзя принять. Подходят только проведённые входящие фактуры в статусах «Отправлена покупателю» или «Подписана поставщиком»."
"eFactura can be signed only in Sent to Buyer, Signed by Supplier, or Accepted status.","Подписать можно только фактуры в статусах «Отправлена покупателю», «Подписана поставщиком» или «Принята»."
Not eligible for signing,Не подходит для подписи
Not eligible for accepting,Не подходит для принятия
Accepted: {0},Принято: {0}
Accepting {0} of {1}: {2},Принятие {0} из {1}: {2}
Signed by Customer,Подписана клиентом
Signed by Supplier,Подписана поставщиком
Signed successfully,Успешно подписана
Signing error,Ошибка подписания
Signing via MoldSign...,Подписание через MoldSign...
Signing {0} of {1}: {2},Подписание {0} из {1}: {2}
Signing cancelled.,Подписание отменено.
Signing cancelled. Remaining documents were not processed.,Подписание отменено. Остальные документы не обработаны.
Signed: {0},Подписано: {0}
Failed: {0},Ошибки: {0}
Skipped: {0},Пропущено: {0}
Only submitted Sales eFactura documents can be signed.,Подписать можно только проведённые исходящие фактуры.
Sales eFactura can be signed only in Pending Registration status.,Исходящую фактуру можно подписать только в статусе «Ожидает регистрации».
The following documents are not eligible and will be skipped:,Следующие документы не подходят и будут пропущены:
The following Sales eFactura documents will be signed and registered:,Будут подписаны и зарегистрированы следующие исходящие фактуры:
The following Sales eFactura documents will be registered without a signature:,Будут зарегистрированы без подписи следующие исходящие фактуры:
The following Purchase eFactura documents will be signed:,Будут подписаны следующие входящие фактуры:
The following Purchase eFactura documents will be accepted:,Будут приняты следующие входящие фактуры:
None of the selected documents can be registered. Only submitted Sales eFactura in Pending Registration are eligible.,Ни один из выбранных документов нельзя зарегистрировать. Подходят только проведённые исходящие фактуры в статусе «Ожидает регистрации».
Only submitted Sales eFactura documents can be registered.,Зарегистрировать можно только проведённые исходящие фактуры.
Sales eFactura can be registered only in Pending Registration status.,Исходящую фактуру можно зарегистрировать только в статусе «Ожидает регистрации».
Registering {0} of {1}: {2},Регистрация {0} из {1}: {2}
Registered: {0},Зарегистрировано: {0}
Not in Pending Registration,Не в статусе «Ожидает регистрации»
Not found,Не найдена
No write permission,Нет права на изменение
Starting...,Запуск...
Successfully sent {0} signed invoice(s) to e-Factura system.,Успешно отправлено подписанных счетов: {0}.
Successfully sent {0} unsigned invoice(s) to e-Factura system.,Успешно отправлено неподписанных счетов: {0}.
Supplier Bank Account,Банковский счёт поставщика
Supplier IDNO field,Поле IDNO поставщика
Supplier IDNO mismatch,IDNO поставщика не совпадает
Supplier {0} IDNO ({1}) does not match e-Factura supplier IDNO {2},IDNO поставщика {0} ({1}) не совпадает с IDNO поставщика в e-Factura {2}
not set,не задан
Supplier Party,Сторона поставщика
Supplier Party Type,Тип стороны поставщика
Total (eFactura Currency),Итого (валюта eFactura)
Transporter Party,Сторона перевозчика
Transporter Party Type,Тип стороны перевозчика
Unsigned XML registered successfully in e-Factura system.,Неподписанный XML успешно зарегистрирован в системе e-Factura.
Update Dates,Обновить даты
Updating dates...,Обновление дат...
Used for eFactura VAT rate definition taken from Item Tax Template,Используется для определения ставки НДС eFactura из шаблона налога товара
Used for eFactura and documents printing,Используется для eFactura и печати документов
VAT Account,Счёт НДС
VAT Amount (eFactura Currency),Сумма НДС (валюта eFactura)
VAT ID,ID НДС
VAT Rate,Ставка НДС
VAT Total,Сумма НДС
VAT Total (eFactura Currency),Сумма НДС (валюта eFactura)
Vat Amount,Сумма НДС
e-Factura API Error: Invoices posted: {0} / {1},Ошибка API e-Factura: Отправлено счетов: {0} / {1}
e-Factura API Error: Unable to obtain Series and Number,Ошибка API e-Factura: Не удалось получить серию и номер
e-Factura API Error: {0},Ошибка API e-Factura: {0}
e-Factura XML Error: Item {0} {1} must not be 0,Ошибка XML e-Factura: Позиция {0} {1} не должна быть 0
e-Factura XML Error: {0} ({1}) must not be empty,Ошибка XML e-Factura: {0} ({1}) не должно быть пустым
e-Factura returned non-PDF content in Result.Content,e-Factura вернула не-PDF содержимое в Result.Content
eF Customer Address,Адрес клиента eF
eF Customer Bank Account,Банковский счёт клиента eF
eF Customer Bank Code,Банковский код клиента eF
eF Customer Bank Name,Банк клиента eF
eF Customer IDNO,IDNO клиента eF
eF Customer Name,Имя клиента eF
eF Customer Taxpayer Type,Тип налогоплательщика клиента eF
eF Customer VAT Id,НДС ID клиента eF
eF Customer e-Factura User,Клиент eF пользователь e-Factura
eF Supplier Address,Адрес поставщика eF
eF Supplier Bank Account,Банковский счёт поставщика eF
eF Supplier Bank Code,Банковский код поставщика eF
eF Supplier Bank Name,Банк поставщика eF
eF Supplier IDNO,IDNO поставщика eF
eF Supplier Name,Имя поставщика eF
eF Supplier Taxpayer Type,Тип налогоплательщика поставщика eF
eF Supplier VAT Id,НДС ID поставщика eF
eF Supplier e-Factura User,Поставщик eF пользователь e-Factura
eF Transporter Address,Адрес перевозчика eF
eF Transporter Bank Account,Банковский счёт перевозчика eF
eF Transporter Bank Code,Банковский код перевозчика eF
eF Transporter Bank Name,Банк перевозчика eF
eF Transporter IDNO,IDNO перевозчика eF
eF Transporter Name,Имя перевозчика eF
eF Transporter Taxpayer Type,Тип налогоплательщика перевозчика eF
eF Transporter VAT Id,НДС ID перевозчика eF
eF Transporter e-Factura User,Перевозчик eF пользователь e-Factura
eFactura,eFactura
eFactura Sales,Исходящие
eFactura Purchase,Входящие
Sales eFactura,Исходящая eFactura
Purchase eFactura,Входящая eFactura
All Sales eFactura,Все исходящие eFactura
All Purchase eFactura,Все входящие eFactura
New Sales eFactura,Новая исходящая eFactura
Awaiting Customer,Ожидают клиента
Awaiting Action,Требуют действия
No Supplier,Без поставщика
Need Purchase Invoice,Нужен счёт закупки
Linked to PI,Связаны со счётом
Purchase eFactura Item,Позиция входящей eFactura
eFactura Actions,Действия eFactura
eFactura Configuration Required. Fiscal Territory must be set.,Требуется настройка eFactura. Необходимо указать фискальную территорию.
eFactura Currency,Валюта eFactura
eFactura Exchange Rate,Курс eFactura
Sales eFactura Item,Позиция исходящей eFactura
eFactura Number,Номер eFactura
eFactura Series,Серия eFactura
eFactura Company API,API компании eFactura
Company API Accounts,Учётные записи API по компаниям
eFactura Manager,Менеджер eFactura
"API username {0} is used for more than one Company. Use one row per e-Factura account.","Имя пользователя API {0} указано для нескольких компаний. Нужна одна строка на каждый кабинет e-Factura."
e-Factura API credentials are set per Company. Pass a Company.,Учётные данные API e-Factura задаются по компании. Укажите компанию.
Set API username and password for company {0} in eFactura Settings (Company API Accounts).,Укажите API логин и пароль для компании {0} в настройках eFactura (учётные записи API по компаниям).
Add at least one Company API Account with username and password in eFactura Settings.,Добавьте хотя бы одну учётную запись API компании с логином и паролем в настройках eFactura.
"One row per legal entity. Username and password are required on each row; there is no site-wide API user. Fetch and daily sync poll each account into that Company.","Одна строка на юридическое лицо. Логин и пароль обязательны в каждой строке; общего пользователя API нет. Загрузка и ежедневная синхронизация опрашивают каждый кабинет в эту компанию."
e-Factura API username for this company.,Имя пользователя API e-Factura для этой компании.
e-Factura API password for this company.,Пароль API e-Factura для этой компании.
eFactura Sales User,Пользователь eFactura (продажи)
eFactura Settings,Настройки eFactura
eFactura Settings: API URL is not set.,Настройки eFactura: не задан URL API.
eFactura Status,Статус eFactura
eFactura UOM,ЕИ eFactura
UOM Conversion Factor,Коэффициент конверсии ЕИ
eFactura UOM Conversion Factor,Коэффициент конверсии ЕИ eFactura
eFactura can be cancelled only in Pending Registration status.,eFactura может быть отменена только в статусе «Ожидает регистрации».
Block Submit When Qty Exceeds Sales Invoice,Блокировать проведение при превышении количества по счёту
"If enabled, submit of a Sales eFactura is blocked when cumulative stock qty of any item across submitted documents exceeds the linked Sales Invoice. If disabled, the user must confirm the overage in the document form before submit.","Если включено, проведение Sales eFactura блокируется, когда совокупное складское количество любой позиции по проведённым документам превышает связанный счёт продажи. Если выключено, перед проведением нужно подтвердить превышение в форме документа."
Quantity vs Sales Invoice,Количество относительно счёта продажи
Outgoing,Исходящие
Purchases,Закупки
Fetch / Sync,Загрузка / синхронизация
Purchase Invoice / Order,Счёт и заказ закупки
UOM Mapping,Соответствие ЕИ
"Maps e-Factura UOM text from SFS XML to an ERPNext UOM. Used when Fetch / sync creates Sales eFactura and Purchase eFactura.","Соответствие текста ЕИ из XML SFS единице ERPNext. Используется при загрузке Sales eFactura и Purchase eFactura."
Auto-add UOM Map,Добавлять ЕИ в карту
"If enabled, an unmapped e-Factura UOM is added here when a Sales or Purchase eFactura is loaded from SFS or when items are mapped.","Если включено, несопоставленная ЕИ e-Factura добавляется сюда при загрузке Sales или Purchase eFactura из SFS или при маппинге строк."
"e-Factura UOM text from the invoice XML (Sales and Purchase).","Текст ЕИ из XML фактуры (продажа и закупка)."
Purchase eFactura cannot be created manually. Use Fetch from e-Factura.,Purchase eFactura нельзя создать вручную. Используйте загрузку из e-Factura.
Quantity exceeds Sales Invoice,Количество превышает счёт продажи
Quantity exceeds Sales Invoice — confirmation required,Количество превышает счёт продажи — требуется подтверждение
"Cumulative eFactura quantity exceeds Sales Invoice {0} for the following items:","Совокупное количество по eFactura превышает счёт продажи {0} по следующим товарам:"
Sales Invoice Qty,Количество в счёте продажи
This eFactura,Эта eFactura
eFactura Qty (total),Количество по eFactura (итого)
Other submitted eFactura,Другие проведённые eFactura
Submit Anyway,Провести всё равно
Checking quantities against Sales Invoice...,Проверка количества по счёту продажи...
SI Qty Overage Confirmed,Превышение количества по счёту подтверждено
Exclude Rejected / Canceled from Qty Quota,Не учитывать отклонённые / отменённые в квоте количества
"If enabled, Sales eFactura in status Rejected by Customer or Canceled by Supplier do not occupy Sales Invoice quantity. You can reissue without cancelling the failed document in ERPNext. If disabled, those documents keep the qty until they are cancelled.","Если включено, eFactura в статусе «Отклонена клиентом» или «Отменена поставщиком» не занимают количество по счёту продажи. Можно выставить заново без отмены неудачного документа в ERPNext. Если выключено, эти документы держат количество, пока их не отменят."
Confirm Draft Save When Qty Exceeds Sales Invoice,Подтверждать сохранение черновика при превышении количества по счёту
"If enabled, saving a Draft Sales eFactura asks for confirmation when this document plus other Draft and submitted documents exceed the Sales Invoice qty. Submit still checks only submitted documents.","Если включено, при сохранении черновика Sales eFactura запрашивается подтверждение, когда этот документ вместе с другими черновиками и проведёнными превышает количество по счёту продажи. Проведение по-прежнему проверяет только проведённые документы."
Other eFactura,Другие eFactura
Save Anyway,Сохранить всё равно
"Other Draft eFactura are included. The first document submitted takes the quantity; the other will be blocked or need confirmation.","Учтены другие черновики eFactura. Количество заберёт документ, который проведут первым; второй будет заблокирован или потребует подтверждения."
Reject,Отклонить
Reject e-Factura,Отклонить e-Factura
Rejection Reason,Причина отклонения
Rejection Reason is required,Укажите причину отклонения
Rejecting e-Factura...,Отклонение e-Factura...
e-Factura rejected.,e-Factura отклонена.
eFactura can be accepted or rejected only in Sent to Buyer or Signed by Supplier status.,eFactura можно принять или отклонить только в статусе «Отправлена покупателю» или «Подписана поставщиком».
Link Purchase Invoice,Связать счёт покупки
Create,Создать
Create Purchase Order,Создать заказ поставщику
Create Purchase Invoice,Создать счёт покупки
Purchase Invoice,Счёт покупки
Open Purchase Invoice,Открыть счёт покупки
Matching Purchase Invoice...,Сверка со счётом покупки...
Purchase Invoice linked. Items mapped from the invoice.,Счёт покупки связан. Позиции замаплены из счёта.
Cannot link Purchase Invoice {0}:,Нельзя связать счёт покупки {0}:
e-Factura and Purchase Invoice do not match,e-Factura и счёт покупки не совпадают
"Grand Total mismatch: e-Factura {0} {2}, Purchase Invoice {1} {2}","Не совпадает Grand Total: e-Factura {0} {2}, счёт покупки {1} {2}"
"VAT Total mismatch: e-Factura {0} {2}, Purchase Invoice {1} {2}","Не совпадает НДС: e-Factura {0} {2}, счёт покупки {1} {2}"
"Item count mismatch: e-Factura has {0} row(s), Purchase Invoice has {1} row(s)","Не совпадает число строк: в e-Factura {0}, в счёте покупки {1}"
"Supplier mismatch: e-Factura {0}, Purchase Invoice {1}","Не совпадает поставщик: e-Factura {0}, счёт покупки {1}"
"Company mismatch: e-Factura {0}, Purchase Invoice {1}","Не совпадает компания: e-Factura {0}, счёт покупки {1}"
Purchase Invoice {0} is cancelled,Счёт покупки {0} отменён
Purchase Invoice {0} is already linked to e-Factura {1},Счёт покупки {0} уже связан с e-Factura {1}
e-Factura is already linked to Purchase Invoice {0},e-Factura уже связана со счётом покупки {0}
Submit Purchase Order {0} before creating Purchase Invoice,Проведите заказ поставщику {0} перед созданием счёта покупки
Purchase Invoice {0} is already linked,Счёт покупки {0} уже связан
Purchase Order {0} is already linked,Заказ поставщику {0} уже связан
Cannot link Purchase Invoice to a cancelled e-Factura,Нельзя связать счёт покупки с отменённой e-Factura
Fetch invoice details from e-Factura before linking a Purchase Invoice,Сначала загрузите детали фактуры из e-Factura
Map all items before creating {0},Замапьте все позиции перед созданием {0}
Supplier is required to create {0},Для создания {0} нужен поставщик
Purchase Order,Заказ поставщику
Purchase Taxes,Налоги закупки
Company Settings,Настройки компании
Purchase Tax Settings,Настройки налогов закупки
Sales Tax Settings,Настройки налогов продажи
VAT Account (Purchase),Счёт НДС (закупка)
Tax Category,Категория налога
Purchase Taxes and Charges Template,Шаблон налогов закупки
"Set on Purchase Order / Purchase Invoice. Used to pick Item Tax Template.","Ставится на заказ поставщику / счёт покупки. Нужна для выбора Item Tax Template."
"Default Purchase Taxes and Charges Template for this company. Applied when Item-wise tax is not used.","Шаблон налогов закупки по умолчанию для компании. Применяется, если Item-wise налог не используется."
"Which tax account is e-Factura VAT. If the Purchase Taxes template does not include this account, it is added as Actual with the VAT amount from the factura.","Какой счёт — НДС e-Factura. Если его нет в шаблоне налогов, он добавляется как Actual с суммой НДС из фактуры."
"Per company: Tax Category, Purchase Taxes template, and VAT account for Purchase Order / Purchase Invoice created from a Purchase eFactura.","Категория налога, шаблон налогов закупки и счёт НДС по компании для заказа / счёта покупки из Purchase eFactura."
Purchase Taxes and Charges Template {0} does not belong to company {1},Шаблон налогов закупки {0} не относится к компании {1}
"VAT is included in Rate, so Actual tax cannot be used (ERPNext forbids 'Is this Tax included in Basic Rate?' on Actual). Set Purchase Taxes and Charges Template or Item Tax Templates for company {0}.","НДС включён в ставку, Actual нельзя (ERPNext запрещает «Is this Tax included in Basic Rate?» для Actual). Укажите шаблон налогов закупки или Item Tax Template для компании {0}."
"e-Factura VAT is {0} but Purchase taxes are empty. For company {1} set VAT Account (Purchase) or Purchase Taxes and Charges Template in eFactura Settings (Purchase → Purchase Tax Settings).","В e-Factura НДС {0}, а в закупке налоги пустые. Для компании {1} укажите счёт НДС (закупка) или шаблон налогов закупки в eFactura Settings (Purchase → Purchase Tax Settings)."
"Used when Item-wise tax is not applied. VAT from e-Factura is posted as Actual tax on Purchase Order and Purchase Invoice.","Если Item-wise налог не применяется, НДС из e-Factura ставится как Actual в заказ поставщику и счёт покупки."
"Per-company VAT account used when Item-wise tax is not applied. Amounts are copied from e-Factura onto Purchase Order and Purchase Invoice.","Счёт НДС по компании, если Item-wise налог не применяется. Суммы копируются из e-Factura в заказ поставщику и счёт покупки."
"VAT Account (Purchase) must be a ledger account, not a group","Счёт НДС (закупка) должен быть листовым, не группой"
VAT Account {0} does not belong to company {1},Счёт НДС {0} не относится к компании {1}
Company {0} is listed more than once,Компания {0} указана более одного раза
VAT {0}%,НДС {0}%
VAT,НДС
Purchase taxes are empty,Налоги закупки не заполнены
"e-Factura VAT is {0} but Purchase taxes are empty. Set VAT Account for company {1} in eFactura Settings (Purchase → Purchase Tax Settings), or enable Item-wise tax (Accounts Settings → Add taxes from Item Tax Template) and assign Item Tax Templates.","В e-Factura НДС {0}, а в закупке налоги пустые. Укажите счёт НДС для компании {1} в eFactura Settings (Purchase → Purchase Tax Settings) либо включите Item-wise налог (Accounts Settings → Add taxes from Item Tax Template) и назначьте Item Tax Template."
Copy Issue Date to Purchase Invoice / Order,Копировать дату выписки в счёт / заказ закупки
"If enabled, Purchase Invoice posting date and time and Purchase Order transaction date are copied from the e-Factura issue date.","Если включено, дата и время проведения счёта покупки и дата заказа поставщику берутся из даты выписки e-Factura."
Do Not Create Cancelled eFactura,Не создавать аннулированные eFactura
"If enabled, Fetch and daily sync do not insert new Sales or Purchase eFactura that are already cancelled by the supplier in SFS. Existing documents still receive the cancelled status.","Если включено, загрузка и ежедневная синхронизация не создают новые Sales или Purchase eFactura, уже аннулированные поставщиком в SFS. У существующих документов статус отмены всё равно обновляется."
Include Archived Invoices,Включать архивные фактуры
"If enabled, Fetch and daily sync also include Sales eFactura with SFS status Archived (6).","Если включено, загрузка и ежедневная синхронизация также получают Sales eFactura со статусом SFS «Архивная» (6)."
"If enabled, Fetch and daily sync also include Purchase eFactura with SFS status Archived (6).","Если включено, загрузка и ежедневная синхронизация также получают Purchase eFactura со статусом SFS «Архивная» (6)."
"Found {0}, created {1}, updated {2}, skipped {3}, details {4}, errors {5}","Найдено {0}, создано {1}, обновлено {2}, пропущено {3}, детали {4}, ошибок {5}"
Fetch Supplier Invoices,Загрузить исходящие фактуры
Fetching supplier invoices...,Загрузка исходящих фактур...
All rows must link to the same Sales Invoice.,Все строки должны ссылаться на один счёт продажи.
Sales Invoice on the document does not match the rows.,Счёт продажи в шапке не совпадает со строками.
Sales eFactura {0} already exists for {1}{2},Sales eFactura {0} уже существует для {1}{2}
No Company found for Sales eFactura sync,Не найдена компания для синхронизации Sales eFactura
Customer is required before submit,Перед проведением укажите клиента
Sales Invoice is required before submit,Перед проведением укажите счёт продажи
Sales Invoice cannot be changed after submit,После проведения счёт продажи менять нельзя
Company Bank Account is required before submit,Перед проведением укажите банковский счёт компании
Issue Date is required before submit,Перед проведением укажите дату выписки
Delivery Date is required before submit,Перед проведением укажите дату поставки
Add or fetch invoice items before submit,Перед проведением добавьте или загрузите строки фактуры
eFactura Item Code,Код номенклатуры eFactura
eFactura UOM is required for row {0},Для строки {0} нужна ЕИ eFactura
Customer {0} IDNO ({1}) does not match e-Factura buyer IDNO {2},IDNO клиента {0} ({1}) не совпадает с IDNO покупателя в e-Factura {2}
Customer IDNO mismatch,IDNO клиента не совпадает
Issue Time,Время выписки
Link Purchase Order,Связать заказ поставщику
Unlink Purchase Order,Отвязать заказ поставщику
Unlink,Отвязать
Purchase Orders,Заказы поставщику
Linking Purchase Order...,Связывание заказа поставщику...
Purchase Order linked.,Заказ поставщику связан.
Purchase Order unlinked.,Заказ поставщику отвязан.
Cannot link Purchase Order to a cancelled e-Factura,Нельзя связать заказ поставщику с отменённой e-Factura
Cannot link Purchase Order after Purchase Invoice is linked,Нельзя связать заказ поставщику после связи со счётом покупки
Cannot unlink Purchase Order after Purchase Invoice is linked,Нельзя отвязать заказ поставщику после связи со счётом покупки
Purchase Order {0} not found,Заказ поставщику {0} не найден
Submit Purchase Order {0} before linking,Проведите заказ поставщику {0} перед связыванием
"Supplier mismatch: e-Factura {0}, Purchase Order {1}","Не совпадает поставщик: e-Factura {0}, заказ поставщику {1}"
"Company mismatch: e-Factura {0}, Purchase Order {1}","Не совпадает компания: e-Factura {0}, заказ поставщику {1}"
Cannot create Purchase Invoice from e-Factura:,Нельзя создать счёт покупки из e-Factura:
Purchase Order qty is not enough,Количества в заказе поставщику недостаточно
"e-Factura row {0} «{1}»: qty {2} exceeds remaining Purchase Order qty ({3}). Increase qty on a linked Purchase Order or Link another Purchase Order, then create the invoice again.","Строка e-Factura {0} «{1}»: количество {2} больше остатка в заказе поставщику ({3}). Увеличьте количество в связанном заказе или свяжите ещё один заказ, затем создайте счёт снова."
{0}: no remaining qty for {1},{0}: нет остатка по {1}
Cannot submit Purchase Invoice {0}:,Нельзя провести счёт покупки {0}:
Cannot submit Purchase Invoice {0},Нельзя провести счёт покупки {0}
Signing,Подписание
Received,Получена
Received (Draft),Получена (черновик)
Pending (Draft),Ожидает (черновик)
In Progress (Draft),В работе (черновик)
Completed (Draft),Завершена (черновик)
Partial (Draft),Частичная (черновик)
Not Required (Draft),Не требуется (черновик)
Unknown (Draft),Неизвестно (черновик)
Please select at least one Purchase Invoice.,Выберите хотя бы один счёт покупки.
Link Invoice,Связать счёт покупки
Link Purchase Invoice,Связать счёт покупки
Select a Supplier,Выберите поставщика
Select a Supplier on the e-Factura first,Сначала выберите поставщика на e-Factura
Allocate,Распределить
Allocate Purchase Invoice,Распределить счёт покупки
Purchase Invoice Allocations,Распределение счетов покупки
Purchase Invoice linked.,Счёт покупки связан.
e-Factura already has Purchase Invoice allocations,У e-Factura уже есть распределения по счетам покупки
Map all items,Замапьте все позиции
Map all items before submit,Замапьте все позиции перед проведением
Map all items before creating {0},Замапьте все позиции перед созданием {0}
Map all items before linking a Purchase Invoice,Замапьте все позиции перед связыванием счёта покупки
"Row {0}: {1} — qty {2}, rate {3} {4}","Строка {0}: {1} — кол-во {2}, цена {3} {4}"
No matching rows to allocate,Нет подходящих строк для распределения
Allocation quantity must be greater than zero,Количество распределения должно быть больше нуля
Purchase Invoice Item {0} is allocated more than once,Строка счёта покупки {0} распределена более одного раза
e-Factura row can only be linked to one Purchase Invoice Item,Строку e-Factura можно связать только с одной строкой счёта покупки
"e-Factura row {0} «{1}» is linked to Purchase Invoice {2} without a Purchase Invoice Item","Строка e-Factura {0} «{1}» связана со счётом {2} без строки счёта покупки"
Allocation refers to missing e-Factura row {0},Распределение ссылается на отсутствующую строку e-Factura {0}
"e-Factura row {0} «{1}»: linked qty {2} must equal factura qty {3}","Строка e-Factura {0} «{1}»: связанное количество {2} должно равняться количеству фактуры {3}"
"e-Factura row {0} «{1}»: linked qty {2} must equal factura qty {3} and Purchase Invoice qty {4}","Строка e-Factura {0} «{1}»: связанное количество {2} должно равняться количеству фактуры {3} и счёта покупки {4}"
